free_bikes,bike_station,empty_slots,latitude,longitude,rating
2,58,14,41.874754,-87.649807,4.0
3,59,8,41.77345849948,-87.5853397391,1.0
3,59,8,41.77345849948,-87.5853397391,2.5
3,59,8,41.77345849948,-87.5853397391,1.5
3,59,8,41.77345849948,-87.5853397391,0.0
3,59,8,41.77345849948,-87.5853397391,5.0
3,59,8,41.77345849948,-87.5853397391,2.0
4,60,10,41.87146651779,-87.6409491327,0.0
4,60,10,41.87146651779,-87.6409491327,2.5
4,60,10,41.87146651779,-87.6409491327,1.5
4,60,10,41.87146651779,-87.6409491327,4.0
4,60,10,41.87146651779,-87.6409491327,2.0
4,60,10,41.87146651779,-87.6409491327,4.5
0,61,32,41.888243,-87.63639,5.0
0,61,32,41.888243,-87.63639,3.5
0,61,32,41.888243,-87.63639,0.0
0,61,32,41.888243,-87.63639,4.5
0,61,32,41.888243,-87.63639,4.0
0,61,32,41.888243,-87.63639,2.5
10,62,16,41.897448,-87.628722,5.0
10,62,16,41.897448,-87.628722,3.5
10,62,16,41.897448,-87.628722,1.5
10,62,16,41.897448,-87.628722,0.0
10,62,16,41.897448,-87.628722,4.0
0,63,23,41.87947235235,-87.6256886059,3.5
0,63,23,41.87947235235,-87.6256886059,3.0
0,63,23,41.87947235235,-87.6256886059,4.0
0,63,23,41.87947235235,-87.6256886059,2.0
0,63,23,41.87947235235,-87.6256886059,4.5
0,63,23,41.87947235235,-87.6256886059,0.0
0,63,23,41.87947235235,-87.6256886059,5.0
0,64,26,41.877181,-87.627844,5.0
0,64,26,41.877181,-87.627844,3.0
0,64,26,41.877181,-87.627844,4.5
0,64,26,41.877181,-87.627844,4.0
0,64,26,41.877181,-87.627844,0.0
0,64,26,41.877181,-87.627844,2.5
5,65,13,41.87464,-87.65703,5.0
5,65,13,41.87464,-87.65703,1.0
5,65,13,41.87464,-87.65703,4.0
5,65,13,41.87464,-87.65703,0.0
5,65,13,41.87464,-87.65703,2.0
5,65,13,41.87464,-87.65703,4.5
4,66,9,41.899643,-87.6677,3.5
4,66,9,41.899643,-87.6677,4.5
4,66,9,41.899643,-87.6677,4.0
4,66,9,41.899643,-87.6677,1.0
4,66,9,41.899643,-87.6677,0.0
0,67,19,41.8793563587,-87.6297910363,4.0
0,67,19,41.8793563587,-87.6297910363,3.5
0,67,19,41.8793563587,-87.6297910363,0.0
0,67,19,41.8793563587,-87.6297910363,4.5
0,67,19,41.8793563587,-87.6297910363,3.0
0,67,19,41.8793563587,-87.6297910363,1.5
0,68,38,41.8777079559,-87.6353211408,3.5
0,68,38,41.8777079559,-87.6353211408,4.0
0,68,38,41.8777079559,-87.6353211408,0.0
0,68,38,41.8777079559,-87.6353211408,3.0
0,68,38,41.8777079559,-87.6353211408,4.5
0,68,38,41.8777079559,-87.6353211408,5.0
8,69,26,41.892278,-87.612043,4.5
8,69,26,41.892278,-87.612043,2.5
8,69,26,41.892278,-87.612043,3.0
8,69,26,41.892278,-87.612043,0.0
8,69,26,41.892278,-87.612043,4.0
0,70,15,41.9267559875,-87.6344287848,0.0
0,70,15,41.9267559875,-87.6344287848,3.5
0,70,15,41.9267559875,-87.6344287848,1.0
0,70,15,41.9267559875,-87.6344287848,4.0
0,70,15,41.9267559875,-87.6344287848,4.5
0,70,15,41.9267559875,-87.6344287848,5.0
6,71,1,41.894745,-87.756895,1.0
6,71,1,41.894745,-87.756895,0.0
6,71,1,41.894745,-87.756895,5.0
6,71,1,41.894745,-87.756895,3.5
6,71,1,41.894745,-87.756895,1.5
10,72,1,41.826712,-87.683144,4.5
10,72,1,41.826712,-87.683144,2.0
10,72,1,41.826712,-87.683144,4.0
10,72,1,41.826712,-87.683144,0.0
10,72,1,41.826712,-87.683144,3.5
2,73,9,41.85353363213,-87.7050730318,4.5
2,73,9,41.85353363213,-87.7050730318,3.0
2,73,9,41.85353363213,-87.7050730318,0.0
2,73,9,41.85353363213,-87.7050730318,4.0
2,73,9,41.85353363213,-87.7050730318,5.0
2,74,9,41.866624,-87.694521,0.0
2,74,9,41.866624,-87.694521,2.5
2,74,9,41.866624,-87.694521,5.0
13,75,3,41.86650148316,-87.68469707,2.5
13,75,3,41.86650148316,-87.68469707,4.0
13,75,3,41.86650148316,-87.68469707,1.0
13,75,3,41.86650148316,-87.68469707,3.0
13,75,3,41.86650148316,-87.68469707,0.0
13,75,3,41.86650148316,-87.68469707,5.0
13,75,3,41.86650148316,-87.68469707,3.5
11,76,0,41.86649278172,-87.7064961757,1.0
11,76,0,41.86649278172,-87.7064961757,2.5
11,76,0,41.86649278172,-87.7064961757,3.5
11,76,0,41.86649278172,-87.7064961757,3.0
11,76,0,41.86649278172,-87.7064961757,0.0
11,76,0,41.86649278172,-87.7064961757,5.0
6,77,5,41.87359967462,-87.7048707493,2.5
6,77,5,41.87359967462,-87.7048707493,4.0
6,77,5,41.87359967462,-87.7048707493,3.0
6,77,5,41.87359967462,-87.7048707493,1.0
6,77,5,41.87359967462,-87.7048707493,0.0
6,77,5,41.87359967462,-87.7048707493,5.0
5,78,6,41.78008063659,-87.6159428567,4.0
5,78,6,41.78008063659,-87.6159428567,3.0
5,78,6,41.78008063659,-87.6159428567,0.0
5,78,6,41.78008063659,-87.6159428567,1.5
5,78,6,41.78008063659,-87.6159428567,1.0
5,78,6,41.78008063659,-87.6159428567,5.0
7,79,3,41.838198,-87.645143,3.5
7,79,3,41.838198,-87.645143,3.0
7,79,3,41.838198,-87.645143,0.0
7,79,3,41.838198,-87.645143,2.5
7,79,3,41.838198,-87.645143,2.0
3,80,12,41.831379,-87.618034,2.0
3,80,12,41.831379,-87.618034,0.0
3,80,12,41.831379,-87.618034,1.5
3,80,12,41.831379,-87.618034,4.0
3,80,12,41.831379,-87.618034,2.5
3,80,12,41.831379,-87.618034,3.5
2,81,17,41.940775,-87.639192,4.5
2,81,17,41.940775,-87.639192,4.0
2,81,17,41.940775,-87.639192,3.5
2,81,17,41.940775,-87.639192,0.0
5,82,14,41.89675,-87.63089,5.0
5,82,14,41.89675,-87.63089,2.5
5,82,14,41.89675,-87.63089,4.5
5,82,14,41.89675,-87.63089,2.0
5,82,14,41.89675,-87.63089,4.0
5,82,14,41.89675,-87.63089,0.0
5,82,14,41.89675,-87.63089,3.0
3,83,12,41.809855,-87.606755,1.5
3,83,12,41.809855,-87.606755,2.0
3,83,12,41.809855,-87.606755,0.0
3,83,12,41.809855,-87.606755,2.5
3,83,12,41.809855,-87.606755,1.0
3,83,12,41.809855,-87.606755,4.0
3,83,12,41.809855,-87.606755,3.5
3,83,12,41.809855,-87.606755,3.0
3,84,23,41.909668,-87.648128,4.0
3,84,23,41.909668,-87.648128,0.0
3,84,23,41.909668,-87.648128,4.5
3,84,23,41.909668,-87.648128,3.0
3,84,23,41.909668,-87.648128,2.0
12,85,7,41.946176,-87.673308,4.0
12,85,7,41.946176,-87.673308,4.5
12,85,7,41.946176,-87.673308,3.0
12,85,7,41.946176,-87.673308,3.5
12,85,7,41.946176,-87.673308,5.0
13,86,1,41.907066,-87.667252,4.0
13,86,1,41.907066,-87.667252,4.5
13,86,1,41.907066,-87.667252,3.5
13,86,1,41.907066,-87.667252,0.0
13,86,1,41.907066,-87.667252,3.0
12,87,7,41.93314,-87.64776,3.5
12,87,7,41.93314,-87.64776,4.5
12,87,7,41.93314,-87.64776,3.0
12,87,7,41.93314,-87.64776,4.0
12,87,7,41.93314,-87.64776,0.0
15,88,20,41.886976,-87.612813,2.5
15,88,20,41.886976,-87.612813,3.0
15,88,20,41.886976,-87.612813,1.0
15,88,20,41.886976,-87.612813,4.0
15,88,20,41.886976,-87.612813,0.0
